====== epoch 53/1000 testloss=0.0752  acc=0.9777 ======
====== epoch 57/1000 testloss=0.0751  acc=0.9779 ======
====== epoch 58/1000 testloss=0.0751  acc=0.9781 ======
====== epoch 60/1000 testloss=0.0751  acc=0.9782 ======
====== epoch 62/1000 testloss=0.0752  acc=0.9782 ======
====== epoch 64/1000 testloss=0.0752  acc=0.9784 ======
====== epoch 69/1000 testloss=0.0754  acc=0.9786 ======
====== epoch 77/1000 testloss=0.0758  acc=0.9788 ======
====== epoch 79/1000 testloss=0.0759  acc=0.9789 ======
====== epoch 83/1000 testloss=0.0761  acc=0.9791 ======
====== epoch 84/1000 testloss=0.0763  acc=0.9789 ======
====== epoch 85/1000 testloss=0.0763  acc=0.9791 ======
====== epoch 90/1000 testloss=0.0767  acc=0.9791 ======
====== epoch 92/1000 testloss=0.0768  acc=0.9793 ======
====== epoch 95/1000 testloss=0.0770  acc=0.9795 ======
====== epoch 97/1000 testloss=0.0771  acc=0.9793 ======
====== epoch 104/1000 testloss=0.0776  acc=0.9795 ======
====== epoch 108/1000 testloss=0.0779  acc=0.9791 ======
====== epoch 136/1000 testloss=0.0800  acc=0.9796 ======
====== epoch 140/1000 testloss=0.0803  acc=0.9796 ======
====== epoch 143/1000 testloss=0.0805  acc=0.9798 ======
====== epoch 149/1000 testloss=0.0809  acc=0.9798 ======
====== epoch 152/1000 testloss=0.0811  acc=0.9798 ======








